5622	34687	147786	29392	144399	183610	138645	54672	131965	50736	203688	121982	112058	202057	16209	184537	84306	171074	113184	192490	40956	107481	93867	76185	159578	40590	2733	81950	94977	117650	31193	52323	217077	93976	192917	145398	215508	80216	132324	107192	107423	4063	6415	109381	133908	93118	67002	100627	17906	200551
35335	22264	157846	198292	24615	79729	149040	188336	136812	55912	85446	49193	162903	117241	111746	211999	210073	209699	32493	169806	141506	173724	93412	129075	136773	173803	211735	125615	120654	88059	207989	23787	206913	180807	183453	212	162140	102125	76341	102208	132172	203823	26616	161216	7322	68291	35081	98221	4175	129484
209676	135308	75546	58511	56766	188934	185020	207565	88974	44538	2355	73152	39236	112441	3851	67235	85109	85904	65703	52735	9455	201011	74501	192180	209292	77694	134372	177428	129490	102396	157367	142005	38842	139364	147569	34000	108269	158913	146939	192365	92432	50449	117027	160632	104076	27420	30937	124045	128	9587
79258	28687	15453	176840	77480	158506	113414	74339	49124	198037	17785	138832	147731	73848	184081	89585	88737	100338	197609	112467	18407	197574	13910	147219	104891	27621	11387	22418	132201	213286	34383	3401	99783	119769	39699	11306	128370	108191	57392	125622	13035	168371	69059	40670	172037	178752	66916	161711	44412	137790
149154	128891	209287	63762	41364	39050	179837	61313	187823	127658	105501	95917	18572	143596	123587	155637	145983	164221	61468	159460	81714	55108	78121	172573	127574	174217	187290	154063	131916	75069	23587	23645	24734	25630	117695	5049	132031	152681	172357	98082	75844	18093	166887	44738	30940	104067	1608	121085	135108	186042
188915	111177	4770	148019	101491	193471	174976	174871	68916	138766	208460	167772	88640	104284	99277	21059	206320	93990	103373	95903	15454	14009	27670	23108	118177	201292	27909	12736	113636	60398	206419	50427	64184	212656	11805	165550	97104	181190	26366	216681	18472	192314	112067	213514	160277	20218	24706	3383	67351	202264
79753	189078	60668	86664	77882	152992	205796	80978	50232	57840	48572	105395	47956	11740	178572	95302	34759	174746	63199	107225	125266	211714	72618	168769	162886	161054	3850	91577	165844	120680	66352	148776	144094	176301	76432	188656	54595	138975	169590	2969	49947	114348	93901	40474	130164	165081	117985	7700	63468	212942
24812	193144	166847	24328	12526	151349	48905	178685	2433	189661	150241	31571	16011	177585	113427	209544	129797	62255	131581	32534	144448	120981	83094	62237	29709	25154	15802	97752	24182	122180	197146	217274	134942	167125	12245	48528	85568	24333	48743	141527	87808	1852	93759	181225	45757	197066	55779	179427	101762	233
105022	86964	155650	200661	157876	19090	154533	186146	103990	14214	191820	104826	81419	217581	106113	113941	99232	193235	157020	57407	120829	190622	84357	106725	201217	30595	49577	49810	109862	63182	31115	194470	138041	163658	25402	215740	110006	41676	82703	140169	162492	75583	178811	116227	158639	197069	69487	40777	20404	173838
160570	3747	9693	50537	28405	182922	217758	208238	4903	80995	145952	164161	105463	6834	76829	176018	50450	88024	181795	27487	132480	75210	62698	33780	178124	102442	7135	147330	140120	182772	208818	148002	49723	8494	8650	202694	48646	86497	156834	98924	187958	23940	33805	107455	144343	108315	218972	121294	68126	1339
6422	107501	143324	82203	60256	106029	202309	39348	41802	175255	55239	195865	23388	78262	95823	100080	129143	119958	94682	80115	52545	151031	183651	171130	8149	201143	180745	124664	81924	29406	26690	197619	210751	109109	62256	135716	79186	124573	107402	159087	70141	11816	119495	51365	134052	136752	1899	78187	11371	118202
216506	30566	725	174714	29916	153240	16228	147027	89606	29752	58560	51903	81038	153774	171548	68934	65891	214930	63999	100450	40248	101418	207513	156814	218212	199844	49383	159887	17074	25288	8098	113616	146472	104804	165965	212887	136855	146207	93670	22764	4316	183321	88067	5448	59607	11256	99980	77015	34074	153382
143895	36973	102685	47400	131798	75465	39995	94966	33623	104280	91068	184606	104148	198197	189756	115000	164917	46242	77833	128533	217098	203875	126815	38158	198635	57844	54153	197151	36367	197927	11399	76551	190517	152833	133385	14016	68145	171950	158885	176719	123328	213000	28290	103961	164938	133943	13090	71681	83577	161318
187216	79064	3806	133486	10343	18963	135438	28080	197892	86397	132625	40779	70977	42067	18900	106307	55479	113147	212213	30321	41891	206405	99049	68232	131899	29484	95134	68845	214017	112333	139146	125524	154664	98283	182112	75132	166618	154507	14758	12798	372	30593	72592	63483	25717	118316	58772	67553	10738	49250
79247	58545	14353	3919	13066	161863	72388	147774	65203	593	214703	99221	15365	107223	126589	101620	165841	32889	62714	26167	134471	137972	152856	75849	159227	130051	168301	212039	42639	83813	163008	184249	143037	158934	192477	127970	120771	40083	51000	92243	171700	65441	46638	188820	54644	15710	207679	198039	148769	34321
118731	5254	163283	156621	81050	155850	210223	180492	137213	50657	37493	5035	138255	164001	77704	128659	180885	3003	198051	186448	108437	205982	57814	172168	2940	5529	103457	186054	38679	2016	28368	20229	140054	22209	120122	151157	123243	32614	188941	99484	22371	13227	75628	5876	46870	11262	128866	205997	113098	152926
162670	139042	22655	36573	48349	107857	83611	14145	102484	111692	84629	104174	71229	199553	64647	61230	116297	18237	172689	95154	36746	149017	188233	73788	126416	14733	171549	116334	142810	82566	146964	34140	192714	283	153586	162081	196783	116710	53545	7343	89276	9716	215134	82108	188181	193298	76386	105054	56718	33090
46613	123989	142586	9146	5679	79153	7608	198182	1826	38283	24849	91876	18335	190797	15742	148039	130996	5591	167751	93902	190845	111482	161685	154708	191818	169142	168706	58539	210305	165658	190960	34799	64500	92965	73607	200487	100893	22493	145945	171189	120035	98993	25605	145501	98812	26043	43795	15315	90957	151267
52018	173302	133109	102874	191475	43697	135373	187614	28869	179784	171213	124735	214771	195272	17746	141395	201068	127261	96413	114882	92437	210448	60339	127608	105246	131402	183499	60849	103692	131722	201185	192481	45379	215578	147636	37338	13000	136052	166014	132876	129722	57262	177121	56368	86717	22789	190840	176107	178487	52457
196646	45884	43640	197045	209275	126114	193414	44941	151418	162183	25761	62356	53907	51423	199485	103667	95557	47118	21589	148196	125	96340	32701	202758	112525	174948	64629	64858	210702	34086	37333	83064	50398	93481	55808	47165	73576	21537	44173	4648	50209	68424	193567	56443	210148	149906	201153	123882	26623	205960
189465	6141	27947	61314	95246	173668	56823	143100	183698	155766	13310	164491	119046	27808	111128	136965	104538	130309	37348	91096	4874	124303	26425	27603	22235	56676	28161	133475	213523	211341	97780	133144	3562	60710	31789	48955	1716	44312	62270	202638	64435	60485	112736	212016	182901	35961	140769	89418	199318	115446
66683	173176	71433	12136	134707	104857	104896	15258	58576	31598	106375	36499	165780	129310	170202	42127	50153	177798	175482	49963	93440	97688	172817	68367	8565	160513	117129	217094	145021	42153	181652	36426	179809	9990	38003	148987	214928	37009	182436	98165	215355	43001	26719	206474	17109	53532	64852	23083	16949	99072
113254	18589	130043	62870	147931	45659	114865	23549	25475	91797	204052	211897	83215	174187	107736	47592	39238	10506	187417	131715	102158	203322	185669	75824	82814	114120	141520	116700	105193	132535	7688	164132	90096	52072	156520	50540	17076	74356	3790	89642	27055	207015	20358	43925	107268	173461	12843	202590	107648	57806
166088	199217	140303	42801	188389	170967	112145	166094	191872	192939	8093	176193	40947	173669	92154	198208	180929	85117	12990	23646	56769	166898	18920	159179	30809	198737	140782	185046	164276	127170	190052	65323	152937	44040	216894	148943	59845	218788	34497	130521	155089	192664	75146	1420	110037	165553	6035	186156	138796	171986
188229	60792	24843	191770	194409	120723	67834	176358	160735	57823	198170	99302	30118	78473	196205	115308	103273	87533	94869	109857	189623	206294	21410	156721	90345	8820	174585	124923	85618	176976	194586	69095	31585	78537	196055	147178	196706	53709	10098	14677	74558	162800	196457	18676	46295	66768	84125	175001	51628	151448
146060	198287	33544	25893	156715	32952	153581	55841	210119	31431	130244	192141	170018	147072	199714	213430	41758	156088	30867	27585	170116	204846	2716	178792	187407	158381	4056	50098	79003	62099	85674	13973	123259	177171	134892	183137	112324	163384	88937	212633	193334	120866	56415	188903	107732	104095	127787	138937	173404	92824
90627	209882	59455	35009	4219	9829	118677	113964	209136	44733	205013	45664	40140	45491	157362	216694	116169	214500	194224	136066	177319	154996	87384	178908	112234	84276	69532	48806	13220	171630	25244	80227	36235	10590	140146	213731	96503	66584	76435	6095	46181	10548	158777	163193	63125	129679	37075	150783	214273	68207
95016	63121	7982	788	209766	4476	183074	14141	127043	143783	196444	118167	181829	149746	191920	17221	162497	178473	156300	40978	162650	32355	152066	121967	19546	119796	50478	25249	147985	162844	21269	146247	87275	151103	181734	43151	130744	123904	5494	120482	83750	75640	105586	148397	91903	128064	40581	17821	18171	169690
75860	145482	181930	150789	67079	186571	78236	116833	66791	16664	46046	714	7169	131984	45423	102509	195328	34502	67551	20034	100737	61131	153640	45421	217126	205893	146912	159767	158776	145226	145214	185398	158126	92732	54369	42474	8623	57038	8444	196242	197661	19230	215536	31841	199227	195394	139089	179473	92900	56596
63752	12090	65260	149680	182119	185499	214775	50299	153918	154842	32875	218224	60149	201118	202479	212254	54034	76588	113592	68485	84214	186616	76913	103792	1728	110408	177235	184815	166001	85255	102838	198115	18682	46336	36698	134594	202480	19179	99879	37699	15798	187570	85213	29109	207984	86005	170140	152971	210629	153191
128490	156179	63024	23667	9201	172047	19469	183638	120379	6595	111534	73549	119284	181227	218238	10951	102711	160745	201958	11845	181761	120715	31242	33425	149208	213270	217051	161538	52125	40186	84624	177688	86300	91384	48319	20054	189832	21616	146933	44039	40298	4470	14333	182864	119522	81869	73768	32053	206577	172106
63478	214449	128788	154362	213396	176149	108877	147429	131502	204752	156157	49510	45128	80916	186360	156355	37278	159545	135526	76434	105209	112263	53899	185504	154974	129848	20919	132250	44767	217651	159344	157574	216159	217284	89998	25024	207473	111432	34344	108694	15868	88153	94970	46962	92145	143595	154956	183646	139400	200498
7611	90953	182422	44208	53808	131281	177471	106064	100762	60425	202634	23021	24053	126161	186591	61540	211017	104876	223	4355	135475	175123	176419	210759	195557	164683	167929	16405	87159	50001	113545	53834	46808	34486	60173	88159	56615	207956	81652	169432	189643	108564	104950	132225	119423	213549	32454	181412	12568	197539
